model,term_group,hateful_examples_with_term,false_negatives_with_term,term_recall,mean_prob_hateful
baseline,black,232,13,0.9439655172413793,0.9369336791094828
baseline,disability,18,4,0.7777777777777778,0.7613513907388889
baseline,gay_lgbt,74,10,0.8648648648648649,0.8644557951216215
baseline,immigrant_nationality,31,9,0.7096774193548387,0.7104498551354839
baseline,jewish,133,14,0.8947368421052632,0.895723003631579
baseline,muslim,100,10,0.9,0.9003574957599999
baseline,other_trigger,35,0,1.0,0.9850587179999999
baseline,white,100,16,0.84,0.8340187064200001
baseline,women,37,10,0.7297297297297297,0.7339917086756756
balanced_guardrail,black,232,16,0.9310344827586207,0.8971144245431035
balanced_guardrail,disability,18,4,0.7777777777777778,0.7451857459444444
balanced_guardrail,gay_lgbt,74,12,0.8378378378378378,0.8229314229729731
balanced_guardrail,immigrant_nationality,31,8,0.7419354838709677,0.7262797280000001
balanced_guardrail,jewish,133,15,0.887218045112782,0.8771857580300751
balanced_guardrail,muslim,100,10,0.9,0.8797973973900001
balanced_guardrail,other_trigger,35,2,0.9428571428571428,0.9440080419999999
balanced_guardrail,white,100,15,0.85,0.8216513770499999
balanced_guardrail,women,37,9,0.7567567567567568,0.7447959456486486
aggressive_reduction,black,232,24,0.896551724137931,0.8436994237047415
aggressive_reduction,disability,18,5,0.7222222222222222,0.7198536610555555
aggressive_reduction,gay_lgbt,74,23,0.6891891891891893,0.6891675274864865
aggressive_reduction,immigrant_nationality,31,8,0.7419354838709677,0.7169692107096775
aggressive_reduction,jewish,133,19,0.8571428571428572,0.8502741803909775
aggressive_reduction,muslim,100,12,0.88,0.8213983969800001
aggressive_reduction,other_trigger,35,1,0.9714285714285714,0.9391895771428571
aggressive_reduction,white,100,18,0.8200000000000001,0.77988326032
aggressive_reduction,women,37,11,0.7027027027027026,0.6757710577027026
