model,term,examples_with_term,mean_term_share,median_term_share,mean_abs_attribution
aggressive_reduction,black,3,0.1861174295544712,0.17384552715272247,0.8043243333333333
balanced_guardrail,black,4,0.2174089643122934,0.23247738159763243,1.1391102499999999
baseline,black,4,0.27121826339259675,0.2995291550369956,1.4092639999999999
aggressive_reduction,gay_lgbt,1,0.04615736179875901,0.04615736179875901,0.118177
balanced_guardrail,gay_lgbt,1,0.050780255748956574,0.050780255748956574,0.179263
baseline,gay_lgbt,1,0.038791825212025184,0.038791825212025184,0.171029
aggressive_reduction,immigrant_nationality,1,0.045533270557254264,0.045533270557254264,0.311712
balanced_guardrail,immigrant_nationality,2,0.08562652012053978,0.08562652012053978,0.541966
baseline,immigrant_nationality,3,0.044660999517748774,0.04327361849807524,0.32373666666666673
aggressive_reduction,jewish,3,0.24104938567782463,0.17423509296230122,0.99322
balanced_guardrail,jewish,3,0.2714143244809704,0.19712944473206231,1.5122280000000001
baseline,jewish,3,0.3288879415274331,0.27335083049113335,2.0673326666666667
aggressive_reduction,kill,1,0.041411291967917666,0.041411291967917666,0.238669
aggressive_reduction,muslim,3,0.17345541558587196,0.05778410284415381,0.8433546666666666
balanced_guardrail,muslim,3,0.2507073664314787,0.2501551748848649,1.793421333333333
baseline,muslim,3,0.313125690667514,0.30858891182558523,1.8361486666666667
aggressive_reduction,other_trigger,1,0.10654667618624473,0.10654667618624473,0.384188
balanced_guardrail,other_trigger,1,0.05394580620730601,0.05394580620730601,0.445493
aggressive_reduction,white,4,0.13218829413176184,0.13107678889417182,0.44622925
balanced_guardrail,white,5,0.10910578787713585,0.07991041193888102,0.4908156
baseline,white,3,0.18394316699996102,0.21748752039842276,0.8682880000000001
aggressive_reduction,women,1,0.10281541892706299,0.10281541892706299,0.263239
balanced_guardrail,women,1,0.08470183937570498,0.08470183937570498,0.299012
baseline,women,1,0.07745436626539393,0.07745436626539393,0.341488
